Movie Name,Critical Label,Critic Rating,Audience Label,Audience Rating
Vampire in Brooklyn,Rotten,10%,Spilled,31%
Fired Up,Rotten,23%,Spilled,52%
Act of Valor,Rotten,25%,Upright,72%
Friday the 13th Part 2,Rotten,33%,Spilled,49%
The Grudge,Rotten,39%,Spilled,47%
The Lost City,Rotten,25%,Upright,64%
Flash Gordon,Fresh,81%,Upright,70%
White Oleander,Fresh,70%,Upright,82%
Anacondas: The Hunt for the Blood Orchid,Rotten,26%,Spilled,27%
Burn After Reading,Certified Fresh,78%,Upright,64%
Ten Things I Hate About You,Fresh,61%,Upright,69%
The Next Three Days,Rotten,52%,Upright,66%
Naked Gun 33 1-3: The Final Insult,Rotten,53%,Spilled,54%
Untraceable,Rotten,16%,Spilled,52%
The General's Daughter,Rotten,22%,Spilled,46%
Little Black Book,Rotten,21%,Spilled,38%
End of Watch,Certified Fresh,85%,Upright,86%
Pale Rider,Fresh,92%,Upright,83%
Unknown,Rotten,55%,Spilled,55%
Sliding Doors,Fresh,63%,Upright,78%
Are We There Yet?,Rotten,11%,Spilled,46%
The Ultimate Gift,Rotten,32%,Upright,85%
Sisters in Law,Fresh,92%,Upright,86%
The Butterfly Effect,Rotten,33%,Upright,81%
Nixon,Certified Fresh,75%,Upright,74%
School Daze,Rotten,58%,Upright,82%
Nanny McPhee,Certified Fresh,73%,Upright,63%
Instinct,Rotten,27%,Upright,68%
The Wild Thornberrys,Certified Fresh,80%,Spilled,50%
Road Trip,Rotten,57%,Upright,66%
Dick Tracy,Fresh,64%,Spilled,53%
The Rookie,Certified Fresh,83%,Upright,69%
Love Me Tender,Rotten,50%,Upright,69%
Multiplicity,Rotten,44%,Spilled,48%
Commando,Fresh,69%,Upright,67%
Aliens,Certified Fresh,98%,Upright,94%
The Transporter,Rotten,53%,Upright,74%
Monsters University,Certified Fresh,78%,Upright,82%
Indigènes,Certified Fresh,82%,Upright,79%
The Art of Getting By,Rotten,18%,Spilled,47%
Slam,Fresh,62%,Upright,84%
Sorority Boys,Rotten,13%,Spilled,54%
College,Rotten,5%,Spilled,27%
Extreme Ops,Rotten,8%,Spilled,27%
Glengarry Glen Ross,Certified Fresh,94%,Upright,89%
Who Killed the Electric Car?,Certified Fresh,88%,Upright,84%
Starship Troopers,Fresh,63%,Upright,69%
To Kill A Mockingbird,Certified Fresh,94%,Upright,93%
My Bloody Valentine,Rotten,57%,Spilled,45%
The Bucket List,Rotten,40%,Upright,77%
Boiler Room,Fresh,67%,Upright,78%
The Chronicles of Narnia: Prince Caspian,Fresh,67%,Upright,73%
The Karate Kid,Fresh,66%,Upright,67%
The Running Man,Fresh,61%,Upright,61%
Spy Game,Fresh,66%,Upright,76%
In Good Company,Certified Fresh,83%,Spilled,55%
Striptease,Rotten,12%,Spilled,24%
The Wedding Date,Rotten,10%,Upright,68%
Tuck Everlasting,Fresh,61%,Upright,71%
Midnight in Paris,Certified Fresh,93%,Upright,82%
CJ7,Rotten,51%,Spilled,53%
Alex Rider: Operation Stormbreaker,Rotten,33%,Spilled,54%
Ace Ventura: Pet Detective,Rotten,45%,Spilled,57%
The Martian Child,Rotten,33%,Upright,72%
200 Cigarettes,Rotten,28%,Spilled,59%
Swimming Pool,Certified Fresh,84%,Upright,67%
Miss Congeniality 2: Armed and Fabulous,Rotten,15%,Spilled,43%
The Runaways,Fresh,69%,Spilled,55%
Get Shorty,Certified Fresh,86%,Upright,70%
Thomas and the Magic Railroad,Rotten,19%,Spilled,37%
Hurricane Streets,Fresh,88%,Upright,82%
A Low Down Dirty Shame,Rotten,0%,Upright,73%
Deep Impact,Rotten,47%,Spilled,43%
The Godfather: Part III,Fresh,67%,Upright,78%
Family Plot,Fresh,95%,Upright,62%
The Wendell Baker Story,Rotten,40%,Spilled,40%
Sugar Hill,Rotten,20%,Upright,72%
Pooh's Heffalump Movie,Certified Fresh,79%,Upright,70%
Shark Night 3D,Rotten,17%,Spilled,22%
Milk,Certified Fresh,94%,Upright,89%
Selena,Fresh,64%,Upright,77%
The Silence of the Lambs,Certified Fresh,94%,Upright,95%
Show Me,Fresh,60%,Upright,60%
Lost in Translation,Certified Fresh,95%,Upright,86%
The Lovely Bones,Rotten,32%,Spilled,52%
Zambezia,Rotten,17%,Spilled,44%
Cloverfield,Certified Fresh,77%,Upright,68%
Four Weddings and a Funeral,Certified Fresh,95%,Upright,74%
The Other Side of Heaven,Rotten,29%,Upright,73%
The Out-of-Towners,Rotten,25%,Spilled,32%
Locker 13,Rotten,13%,Upright,67%
Zwartboek,Certified Fresh,76%,Upright,87%
Supercross,Rotten,6%,Upright,62%
The Man,Certified Fresh,80%,Upright,91%
Kiss the Girls,Rotten,30%,Upright,63%
Sugar Town,Fresh,67%,Spilled,50%
Devil's Advocate,Fresh,66%,Upright,80%
Alien: Resurrection,Rotten,53%,Spilled,41%
"Synecdoche, New York",Fresh,68%,Upright,70%
Ratatouille,Certified Fresh,96%,Upright,87%
Force 10 from Navarone,Fresh,64%,Spilled,57%
Chain Letter,Rotten,23%,Spilled,19%
Mad Money,Rotten,22%,Spilled,49%
Meet Dave,Rotten,19%,Spilled,35%
The Perfect Man,Rotten,6%,Spilled,59%
A Walk to Remember,Rotten,27%,Upright,78%
The Book Thief,Rotten,46%,Upright,75%
Love and Basketball,Certified Fresh,82%,Upright,95%
Sexy Beast,Certified Fresh,86%,Upright,85%
Shadow of the Vampire,Certified Fresh,81%,Upright,74%
Along Came Polly,Rotten,26%,Spilled,47%
Lady in the Water,Rotten,24%,Spilled,49%
Light It Up,Rotten,38%,Upright,76%
"Me, Myself & Irene",Rotten,48%,Spilled,57%
Copying Beethoven,Rotten,28%,Spilled,57%
Konferenz der Tiere,Rotten,25%,Spilled,27%
Crazy Heart,Certified Fresh,91%,Upright,76%
Mirror Mirror,Rotten,49%,Spilled,45%
Raging Bull,Certified Fresh,98%,Upright,93%
"I Love You, Man",Certified Fresh,84%,Upright,74%
Police Academy,Rotten,41%,Upright,64%
Hesher,Rotten,54%,Upright,61%
The Number 23,Rotten,8%,Spilled,56%
The Core,Rotten,41%,Spilled,34%
Clash of the Titans,Fresh,66%,Upright,70%
Starsky & Hutch,Fresh,63%,Spilled,49%
Lawless,Fresh,67%,Upright,75%
Everybody's Fine,Rotten,46%,Spilled,54%
Nothing To Lose,Rotten,29%,Upright,69%
United 93,Certified Fresh,91%,Upright,82%
WALL-E,Certified Fresh,96%,Upright,89%
Groove,Rotten,56%,Upright,80%
Lethal Weapon 3,Rotten,56%,Upright,62%
I Dreamed of Africa,Rotten,10%,Spilled,58%
Chasing Papi,Rotten,14%,Spilled,40%
Panic Room,Certified Fresh,76%,Upright,62%
Bridget Jones: The Edge Of Reason,Rotten,27%,Upright,61%
The Perks of Being a Wallflower,Certified Fresh,85%,Upright,89%
The Hunt for Red October,Certified Fresh,96%,Upright,89%
Thunderball,Fresh,85%,Upright,74%
The Cookout,Rotten,5%,Spilled,37%
Street Fighter,Rotten,12%,Spilled,19%
Hollywood Ending,Rotten,47%,Spilled,50%
Open Season,Rotten,48%,Spilled,57%
Zombies of Mass Destruction,Fresh,60%,Spilled,33%
Pitch Black,Rotten,57%,Upright,77%
The Inkwell,Rotten,25%,Upright,86%
Law Abiding Citizen,Rotten,25%,Upright,75%
Looney Tunes: Back in Action,Rotten,57%,Spilled,50%
Batman & Robin,Rotten,11%,Spilled,16%
Salvation Boulevard,Rotten,21%,Spilled,24%
Life Before Her Eyes,Rotten,24%,Spilled,52%
New Year's Eve,Rotten,7%,Spilled,46%
Never Say Never Again,Fresh,60%,Spilled,38%
The Princess Diaries 2: Royal Engagement,Rotten,25%,Upright,60%
Country Strong,Rotten,22%,Spilled,53%
Pride and Prejudice,Certified Fresh,85%,Upright,90%
Shinjuku Incident,Fresh,60%,Upright,67%
Escape From Planet Earth,Rotten,33%,Spilled,55%
Your Sister's Sister,Certified Fresh,83%,Upright,66%
Parental Guidance,Rotten,18%,Upright,60%
Halloween 3: Season of the Witch,Rotten,33%,Spilled,24%
Wonder Boys,Certified Fresh,81%,Upright,83%
There Will Be Blood,Certified Fresh,91%,Upright,86%
Married Life,Rotten,55%,Spilled,36%
The Remains of the Day,Fresh,97%,Upright,90%
Team America: World Police,Certified Fresh,77%,Upright,80%
Machete,Certified Fresh,72%,Upright,64%
Atlas Shrugged: Part II,Rotten,5%,Upright,62%
Virtuosity,Rotten,33%,Spilled,33%
School for Scoundrels,Rotten,25%,Spilled,53%
Summer Catch,Rotten,8%,Spilled,41%
Zero Dark Thirty,Certified Fresh,93%,Upright,80%
The Relic,Rotten,31%,Spilled,34%
Flightplan,Rotten,38%,Spilled,48%
Out of Sight,Certified Fresh,93%,Upright,75%
Iron Man 3,Certified Fresh,78%,Upright,79%
Trouble with the Curve,Rotten,50%,Upright,67%
Top Gun,Rotten,54%,Upright,84%
In Time,Rotten,36%,Spilled,51%
Someone Like You,Rotten,43%,Spilled,58%
Gake no ue no Ponyo,Certified Fresh,92%,Upright,83%
Red State,Rotten,58%,Spilled,55%
One Night with the King,Rotten,19%,Upright,78%
Empire,Rotten,21%,Upright,63%
Brother,Rotten,47%,Upright,79%
X2,Certified Fresh,87%,Upright,85%
The Conversation,Certified Fresh,98%,Upright,90%
Anatomie,Rotten,58%,Spilled,47%
Grosse Pointe Blank,Certified Fresh,79%,Upright,87%
Maleficent,Rotten,48%,Upright,74%
Seed of Chucky,Rotten,32%,Spilled,40%
Martha Marcy May Marlene,Certified Fresh,90%,Upright,71%
Fat Albert,Rotten,23%,Spilled,44%
Daredevil,Rotten,45%,Spilled,36%
Out of Africa,Rotten,52%,Upright,84%
Raising Helen,Rotten,23%,Upright,61%
Mirrors,Rotten,14%,Spilled,45%
Mission: Impossible III,Fresh,70%,Upright,69%
Derailed,Rotten,20%,Spilled,59%
Live and Let Die,Fresh,66%,Upright,65%
Captain America: The First Avenger,Certified Fresh,79%,Upright,74%
Road House,Rotten,40%,Upright,67%
The Assassination of Jesse James by the Coward Robert Ford,Certified Fresh,76%,Upright,75%
Cop Land,Fresh,73%,Upright,66%
Smilla's Sense of Snow,Rotten,52%,Spilled,58%
Thirteen Days,Certified Fresh,83%,Upright,80%
Rollerball,Rotten,3%,Spilled,15%
Exit Wounds,Rotten,32%,Spilled,46%
An American Carol,Rotten,11%,Spilled,46%
Trapped,Rotten,18%,Spilled,49%
Young Guns,Rotten,40%,Upright,77%
Cloud Atlas,Fresh,66%,Upright,66%
Ocean's Thirteen,Fresh,70%,Upright,75%
Deuces Wild,Rotten,3%,Spilled,52%
An American Haunting,Rotten,12%,Spilled,36%
Mud,Certified Fresh,98%,Upright,80%
We Bought a Zoo,Fresh,66%,Upright,72%
Yes Man,Rotten,45%,Upright,66%
Undead,Rotten,32%,Spilled,44%
X-Men,Certified Fresh,82%,Upright,83%
Redbelt,Fresh,67%,Upright,65%
Poolhall Junkies,Rotten,34%,Upright,88%
Rent,Rotten,46%,Upright,83%
Everything Put Together,Fresh,69%,Spilled,48%
Gettysburg,Fresh,88%,Upright,89%
Artificial Intelligence: AI,Certified Fresh,73%,Upright,64%
The Hitchhiker's Guide to the Galaxy,Fresh,60%,Upright,65%
L'auberge espagnole,Certified Fresh,77%,Upright,86%
La Môme,Certified Fresh,74%,Upright,84%
Open Range,Certified Fresh,79%,Upright,84%
Boogie Nights,Certified Fresh,92%,Upright,89%
Michael Jordan to the MAX,Fresh,67%,Upright,82%
Les herbes folles,Fresh,66%,Spilled,38%
My Summer of Love,Certified Fresh,90%,Upright,69%
The Hangover 3,Rotten,19%,Spilled,45%
Along Came a Spider,Rotten,32%,Spilled,54%
Narc,Certified Fresh,83%,Upright,80%
Beverly Hills Cop,Certified Fresh,83%,Upright,81%
Holy Girl,Certified Fresh,76%,Spilled,57%
Dawn of the Dead,Fresh,95%,Upright,90%
Crossover,Rotten,2%,Spilled,59%
Death Becomes Her,Rotten,43%,Upright,61%
I Can Do Bad All By Myself,Fresh,63%,Upright,81%
Winter Passing,Rotten,40%,Upright,62%
Runner Runner,Rotten,9%,Spilled,33%
Arachnophobia,Fresh,91%,Spilled,52%
Mozart's Sister,Certified Fresh,75%,Spilled,54%
Dragonball Evolution,Rotten,14%,Spilled,20%
Casino Jack,Rotten,38%,Spilled,35%
Red Dawn,Rotten,12%,Spilled,51%
The Score,Certified Fresh,73%,Upright,67%
Wolf Creek,Rotten,53%,Spilled,49%
Just Like Heaven,Rotten,56%,Upright,75%
The Boys from Brazil,Fresh,69%,Upright,67%
Heaven is for Real,Rotten,46%,Upright,68%
The Mudge Boy,Fresh,77%,Upright,73%
40 Days and 40 Nights,Rotten,38%,Spilled,44%
"The Goods: Live Hard, Sell Hard",Rotten,27%,Spilled,37%
The Rock,Fresh,66%,Upright,86%
Easy Virtue,Rotten,52%,Spilled,47%
The Last Station,Fresh,71%,Upright,67%
Sticky Fingers of Time,Fresh,80%,Upright,76%
No Man's Land,Certified Fresh,93%,Upright,93%
A Christmas Story,Certified Fresh,88%,Upright,89%
She's the Man,Rotten,43%,Upright,79%
Awake,Rotten,23%,Spilled,54%
Rio,Fresh,72%,Upright,71%
Igor,Rotten,36%,Spilled,37%
Tremors,Fresh,84%,Upright,74%
The Future,Certified Fresh,71%,Spilled,55%
What Dreams May Come,Rotten,54%,Upright,85%
Emma,Certified Fresh,83%,Upright,77%
Incident at Loch Ness,Fresh,62%,Upright,67%
The Master of Disguise,Rotten,1%,Spilled,32%
Hardball,Rotten,39%,Upright,71%
K-PAX,Rotten,41%,Upright,75%
Mulan,Certified Fresh,86%,Upright,84%
Talladega Nights: The Ballad of Ricky Bobby,Certified Fresh,72%,Upright,73%
War,Rotten,14%,Spilled,51%
Finding Forrester,Certified Fresh,73%,Upright,79%
April Fool's Day,Rotten,36%,Spilled,48%
Safe Haven,Rotten,12%,Upright,68%
Hook,Rotten,30%,Upright,76%
1941,Rotten,32%,Spilled,50%
Sgt. Bilko,Rotten,32%,Spilled,47%
The Animal,Rotten,30%,Spilled,28%
Eternal Sunshine of the Spotless Mind,Certified Fresh,93%,Upright,94%
ATL,Fresh,62%,Upright,87%
15 Minutes,Rotten,33%,Spilled,38%
Baggage Claim,Rotten,14%,Spilled,51%
Max Keeble's Big Move,Rotten,29%,Spilled,38%
The French Connection,Certified Fresh,98%,Upright,88%
The Yards,Rotten,45%,Upright,65%
The Hills Have Eyes II,Rotten,11%,Spilled,40%
Dinner Rush,Certified Fresh,91%,Upright,85%
The Sitter,Rotten,21%,Spilled,40%
The Cold Light of Day,Rotten,5%,Spilled,29%
The Manchurian Candidate,Certified Fresh,81%,Upright,63%
Repo Men,Rotten,22%,Spilled,41%
Devil,Rotten,52%,Spilled,43%
Robots,Fresh,64%,Spilled,53%
My Favorite Martian,Rotten,12%,Spilled,31%
Frailty,Certified Fresh,73%,Upright,79%
Jack Ryan: Shadow Recruit,Rotten,55%,Spilled,54%
The Amityville Horror,Rotten,23%,Spilled,53%
Grand Theft Parsons,Rotten,44%,Spilled,52%
3 Days to Kill,Rotten,29%,Spilled,45%
The Last King of Scotland,Certified Fresh,87%,Upright,89%
Star Trek: Insurrection,Rotten,55%,Spilled,45%
Man on the Moon,Fresh,63%,Upright,79%
Crash,Certified Fresh,75%,Upright,89%
Ayurveda: Art of Being,Rotten,57%,Upright,77%
Primer,Fresh,72%,Upright,81%
The Prince,Rotten,0%,Spilled,21%
Roll Bounce,Fresh,64%,Upright,70%
Django Unchained,Certified Fresh,88%,Upright,92%
Supporting Characters,Fresh,86%,Upright,66%
Megiddo: Omega Code 2,Rotten,10%,Spilled,43%
Blue Like Jazz,Rotten,38%,Upright,64%
Colombiana,Rotten,27%,Upright,67%
Living Out Loud,Rotten,59%,Upright,64%
The Chronicles of Narnia: The Voyage of the Dawn Treader,Rotten,49%,Spilled,58%
The Bounty Hunter,Rotten,13%,Spilled,51%
Princess Kaiulani,Rotten,18%,Spilled,45%
The Banger Sisters,Rotten,47%,Spilled,42%
Out Cold,Rotten,8%,Upright,85%
Falcon Rising,Rotten,43%,Spilled,41%
Curious George,Fresh,69%,Upright,70%
Man of Steel,Rotten,56%,Upright,76%
Sahara,Rotten,39%,Spilled,54%
I Love Your Work,Rotten,22%,Spilled,44%
The Man with the Golden Gun,Rotten,46%,Spilled,57%
The Sidewalks of New York,Rotten,56%,Spilled,54%
G-Force,Rotten,22%,Spilled,40%
Disney's A Christmas Carol,Rotten,54%,Spilled,58%
The Transporter 2,Rotten,51%,Spilled,59%
Take Shelter,Certified Fresh,92%,Upright,81%
Star Trek V: The Final Frontier,Rotten,21%,Spilled,25%
The Messenger: The Story of Joan of Arc,Rotten,30%,Spilled,58%
The Perfect Host,Rotten,44%,Spilled,55%
Stepmom,Rotten,44%,Upright,75%
Steel,Rotten,12%,Spilled,16%
28 Days,Rotten,31%,Spilled,51%
Harvard Man,Rotten,33%,Spilled,33%
Illuminata,Rotten,38%,Upright,68%
Waltz with Bashir,Certified Fresh,96%,Upright,90%
Walk Hard: The Dewey Cox Story,Certified Fresh,75%,Spilled,57%
Final Fantasy: The Spirits Within,Rotten,44%,Spilled,48%
The Good Guy,Rotten,33%,Spilled,31%
The Texas Chainsaw Massacre 2,Rotten,42%,Spilled,44%
Hoodwinked Too: Hood vs. Evil,Rotten,11%,Spilled,35%
Happy Feet,Certified Fresh,75%,Upright,70%
Sin City,Certified Fresh,78%,Upright,78%
Roger & Me,Fresh,100%,Upright,79%
Albino Alligator,Rotten,44%,Spilled,42%
Rang De Basanti,Fresh,80%,Upright,94%
Letters from Iwo Jima,Certified Fresh,91%,Upright,86%
Medicine Man,Rotten,24%,Spilled,46%
Pirates of the Caribbean: Dead Man's Chest,Rotten,54%,Upright,72%
Paranormal Activity 3,Fresh,68%,Spilled,51%
Vanity Fair,Rotten,51%,Spilled,50%
The Hotel New Hampshire,Fresh,77%,Spilled,51%
Super 8,Certified Fresh,82%,Upright,75%
Brokedown Palace,Rotten,31%,Upright,67%
Percy Jackson: Sea of Monsters,Rotten,41%,Spilled,56%
War Horse,Certified Fresh,77%,Upright,74%
Hit & Run,Rotten,49%,Spilled,49%
The Fifth Estate,Rotten,37%,Spilled,38%
Saw V,Rotten,12%,Spilled,53%
East is East,Fresh,78%,Upright,78%
Pootie Tang,Rotten,29%,Upright,64%
Spider-Man 2,Certified Fresh,94%,Upright,81%
Old School,Fresh,60%,Upright,86%
Flipper,Rotten,32%,Spilled,34%
Josie and the Pussycats,Rotten,53%,Spilled,52%
Deception,Rotten,14%,Spilled,31%
"Yours, Mine and Ours",Rotten,6%,Spilled,52%
I am Legend,Fresh,70%,Upright,68%
The Covenant,Rotten,3%,Upright,62%
On the Line,Rotten,19%,Spilled,48%
Rush,Certified Fresh,89%,Upright,89%
The Quiet American,Certified Fresh,87%,Upright,73%
Breakfast of Champions,Rotten,26%,Spilled,32%
We're No Angels,Rotten,50%,Spilled,43%
Seeking a Friend for the End of the World,Rotten,56%,Spilled,53%
George Of The Jungle,Rotten,56%,Spilled,41%
Snow Dogs,Rotten,25%,Spilled,40%
Confessions of a Teenage Drama Queen,Rotten,13%,Spilled,35%
Buffy the Vampire Slayer,Rotten,33%,Spilled,43%
The Cooler,Certified Fresh,77%,Upright,70%
All About the Benjamins,Rotten,30%,Upright,78%
Getaway,Rotten,2%,Spilled,35%
The Pirates! Band of Misfits,Certified Fresh,86%,Upright,60%
Vanilla Sky,Rotten,41%,Upright,73%
The Dark Half,Fresh,61%,Spilled,37%
Howard the Duck,Rotten,14%,Spilled,39%
The Island,Rotten,40%,Upright,64%
Quo Vadis?,Fresh,88%,Upright,73%
Bill & Ted's Excellent Adventure,Fresh,81%,Upright,75%
The Wiz,Rotten,30%,Upright,66%
San qiang pai an jing qi,Rotten,32%,Spilled,40%
Highlander,Fresh,67%,Upright,80%
Urbania,Fresh,71%,Upright,71%
Cecil B. Demented,Rotten,52%,Upright,68%
Silent Hill,Rotten,29%,Upright,63%
The Mighty,Rotten,52%,Spilled,40%
The Doors,Rotten,54%,Upright,80%
The Musketeer,Rotten,11%,Spilled,33%
Rugrats Go Wild,Rotten,41%,Spilled,38%
Jakob the Liar,Rotten,29%,Upright,63%
My Fellow Americans,Rotten,47%,Upright,65%
Margaret,Fresh,71%,Spilled,48%
Jimmy and Judy,Rotten,43%,Upright,67%
Bowfinger,Certified Fresh,80%,Upright,60%
The Spiderwick Chronicles,Certified Fresh,80%,Upright,63%
The Rage: Carrie 2,Rotten,21%,Spilled,34%
An Ideal Husband,Certified Fresh,85%,Upright,70%
Away We Go,Fresh,67%,Upright,74%
Lost and Found,Rotten,13%,Spilled,28%
Flicka,Rotten,54%,Upright,83%
The Love Guru,Rotten,14%,Spilled,33%
The Life of Brian,Certified Fresh,96%,Upright,93%
Cars,Certified Fresh,74%,Upright,80%
Airplane!,Certified Fresh,98%,Upright,89%
August Rush,Rotten,37%,Upright,82%
Ghostbusters,Certified Fresh,97%,Upright,88%
The Three Stooges,Rotten,51%,Spilled,48%
Twins,Rotten,36%,Spilled,38%
Anything Else,Rotten,40%,Spilled,46%
Lucky Number Slevin,Rotten,51%,Upright,87%
Pretty Woman,Fresh,62%,Upright,68%
Let's Talk About Sex,Rotten,13%,Spilled,33%
The Iron Giant,Certified Fresh,97%,Upright,89%
The Ninth Gate,Rotten,41%,Spilled,58%
Jonah Hex,Rotten,12%,Spilled,20%
This is 40,Rotten,51%,Spilled,50%
The Good Girl,Certified Fresh,81%,Spilled,59%
Legend of the Guardians: The Owls of Ga'Hoole 3D,Rotten,50%,Upright,64%
Mallrats,Rotten,55%,Upright,82%
Fast Times at Ridgemont High,Certified Fresh,79%,Upright,80%
Taken,Rotten,58%,Upright,85%
Honey,Rotten,21%,Upright,71%
A Good Day to Die Hard,Rotten,14%,Spilled,41%
Pearl Harbor,Rotten,25%,Upright,67%
The Sorcerer's Apprentice,Rotten,41%,Spilled,53%
The Crew,Rotten,20%,Spilled,37%
Big,Certified Fresh,97%,Upright,81%
Nutty Professor II: The Klumps,Rotten,26%,Spilled,33%
Prisoners,Certified Fresh,82%,Upright,87%
Scream 4,Rotten,58%,Spilled,55%
Date Movie,Rotten,7%,Spilled,35%
Dances with Wolves,Certified Fresh,81%,Upright,87%
Shortbus,Fresh,66%,Upright,78%
"Bon Cop, Bad Cop",Fresh,67%,Upright,82%
Evita,Fresh,64%,Upright,69%
Flirting with Disaster,Certified Fresh,86%,Upright,69%
My Big Fat Independent Movie,Rotten,23%,Spilled,31%
Son of God,Rotten,21%,Upright,74%
Bedtime Stories,Rotten,25%,Spilled,56%
Chicken Little,Rotten,36%,Spilled,48%
The Muppets,Certified Fresh,96%,Upright,80%
In Bruges,Certified Fresh,82%,Upright,86%
The Vow,Rotten,29%,Upright,63%
A Mighty Heart,Certified Fresh,79%,Upright,70%
The Princess Diaries,Rotten,47%,Upright,68%
My Cousin Vinny,Certified Fresh,84%,Upright,87%
Star Wars Ep. II: Attack of the Clones,Fresh,67%,Upright,60%
American Splendor,Certified Fresh,94%,Upright,87%
Black Swan,Certified Fresh,87%,Upright,84%
The Virgin Suicides,Certified Fresh,76%,Upright,81%
Another Happy Day,Rotten,45%,Spilled,43%
Brooklyn Rules,Rotten,45%,Spilled,51%
Chasseurs de dragons,Fresh,67%,Upright,61%
Big Miracle,Fresh,73%,Upright,64%
DOA: Dead or Alive,Rotten,34%,Spilled,36%
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Certified Fresh,76%,Upright,61%
Finding Neverland,Certified Fresh,83%,Upright,87%
8 Mile,Certified Fresh,76%,Spilled,54%
The Expendables,Rotten,41%,Upright,64%
New York Minute,Rotten,11%,Spilled,47%
Diary of the Dead,Fresh,62%,Spilled,41%
She's Gotta Have It,Fresh,93%,Upright,71%
Juno,Certified Fresh,94%,Upright,88%
Nueve Reinas,Certified Fresh,92%,Upright,94%
The Thomas Crown Affair,Fresh,69%,Upright,77%
I Don't Know How She Does It,Rotten,17%,Spilled,32%
Windtalkers,Rotten,32%,Spilled,50%
"You, Me and Dupree",Rotten,21%,Spilled,50%
The Girl with the Dragon Tattoo,Certified Fresh,86%,Upright,86%
Lucy,Fresh,66%,Spilled,48%
Creature,Rotten,11%,Spilled,16%
The Ladykillers,Rotten,55%,Spilled,43%
Rounders,Fresh,65%,Upright,88%
Dreamcatcher,Rotten,30%,Spilled,36%
Despicable Me,Certified Fresh,81%,Upright,82%
Hotel Transylvania,Rotten,45%,Upright,72%
Friday Night Lights,Certified Fresh,81%,Upright,86%
The Rundown,Fresh,71%,Upright,67%
Spaced Invaders,Rotten,8%,Spilled,50%
Superman,Certified Fresh,93%,Upright,86%
Strangers on a Train,Certified Fresh,98%,Upright,93%
West Side Story,Certified Fresh,94%,Upright,85%
El orfanato,Certified Fresh,86%,Upright,86%
Invictus,Certified Fresh,76%,Upright,74%
Videodrome,Fresh,80%,Upright,81%
Blood and Wine,Fresh,61%,Spilled,36%
Coyote Ugly,Rotten,22%,Upright,71%
Around the World in 80 Days,Rotten,31%,Spilled,35%
Cars 2,Rotten,39%,Spilled,51%
The Next Best Thing,Rotten,19%,Spilled,36%
Say Uncle,Rotten,17%,Spilled,40%
Can't Hardly Wait,Rotten,40%,Upright,64%
Red Planet,Rotten,14%,Spilled,28%
Kill Bill: Volume 2,Certified Fresh,84%,Upright,89%
POM Wonderful Presents: The Greatest Movie Ever Sold,Certified Fresh,73%,Upright,64%
Spider-Man,Certified Fresh,89%,Upright,67%
xXx,Rotten,48%,Spilled,59%
Star Trek: Generations,Rotten,48%,Spilled,58%
War of the Worlds,Fresh,74%,Spilled,41%
Dreamer: Inspired by a True Story,Fresh,64%,Upright,79%
Megamind,Fresh,72%,Upright,71%
Veronica Guerin,Rotten,53%,Upright,70%
Simon Birch,Rotten,44%,Upright,77%
The Passion of the Christ,Rotten,49%,Upright,80%
Torque,Rotten,23%,Spilled,41%
Million Dollar Baby,Certified Fresh,91%,Upright,90%
Daybreakers,Fresh,67%,Spilled,49%
Here on Earth,Rotten,17%,Upright,62%
Dead Poets' Society,Certified Fresh,85%,Upright,92%
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Fresh,90%,Upright,69%
Blazing Saddles,Certified Fresh,90%,Upright,91%
How She Move,Fresh,65%,Spilled,50%
Saint Ralph,Fresh,63%,Upright,86%
Sex and the City,Rotten,50%,Upright,77%
The Fog,Rotten,4%,Spilled,19%
Shotgun Stories,Certified Fresh,91%,Upright,80%
The Basket,Certified Fresh,82%,Upright,95%
The Fountain,Rotten,51%,Upright,74%
Saw VI,Rotten,37%,Spilled,55%
Charlie Wilson's War,Certified Fresh,82%,Upright,74%
The Phantom of the Opera,Rotten,33%,Upright,85%
Detroit Rock City,Rotten,46%,Upright,82%
Fear and Loathing in Las Vegas,Rotten,50%,Upright,90%
Deep Blue Sea,Rotten,56%,Spilled,38%
High School Musical,Rotten,56%,Upright,74%
On Deadly Ground,Rotten,10%,Spilled,35%
Blackthorn,Certified Fresh,75%,Upright,63%
Snowpiercer,Certified Fresh,95%,Upright,77%
Formula 51,Rotten,25%,Spilled,59%
Epic Movie,Rotten,2%,Spilled,29%
Magnolia,Certified Fresh,84%,Upright,90%
The Truman Show,Certified Fresh,94%,Upright,88%
Dark City,Certified Fresh,74%,Upright,85%
Swing Vote,Rotten,38%,Spilled,42%
Planet 51,Rotten,21%,Spilled,40%
Monsters vs. Aliens,Fresh,72%,Spilled,59%
Spider-Man 3,Fresh,63%,Spilled,51%
Take Me Home Tonight,Rotten,28%,Spilled,42%
Lions for Lambs,Rotten,27%,Spilled,48%
Orgazmo,Rotten,47%,Upright,67%
True Lies,Fresh,72%,Upright,76%
Rules of Engagement,Rotten,36%,Spilled,55%
Muppets Most Wanted,Certified Fresh,79%,Upright,61%
Yes,Rotten,52%,Upright,74%
